Date,Open,High,Low,Close,Adj Close,Volume
1998-01-01,13.772222,13.996666,13.691111,13.922222,8.703424,228033000
1998-01-02,13.883333,14.021111,13.824444,13.871111,8.671471,185845500
1998-01-05,13.951111,14.065555,13.666666,13.718888,8.576309,260014500
1998-01-06,13.652222,13.886666,13.458888,13.636666,8.524908,417370500
1998-01-07,13.676666,13.860000,13.533333,13.687777,8.556859,336195000
1998-01-08,13.624444,13.642222,13.168888,13.293333,8.310275,451332000
1998-01-09,13.155555,13.355555,13.002222,13.244444,8.279713,570717000
1998-01-12,13.177777,13.177777,12.734444,12.873333,8.047714,418468500
1998-01-13,12.911111,13.333333,12.911111,13.125555,8.205391,420988500
1998-01-14,13.267777,13.530000,12.755555,12.945555,8.092864,554859000
1998-01-15,12.900000,13.128888,12.781111,13.088888,8.182468,474493500
1998-01-16,13.133333,13.244444,13.052222,13.162222,8.228312,300091500
1998-01-19,13.112222,13.344444,12.994444,13.291111,8.308884,268168500
1998-01-20,13.330000,13.497777,13.161111,13.223333,8.266514,410274000
1998-01-21,13.242222,13.288888,13.114444,13.165555,8.230395,181399500
1998-01-22,13.125555,13.125555,12.944444,12.990000,8.120648,215820000
1998-01-23,12.962222,13.143333,12.922222,13.068888,8.169963,235021500
1998-01-26,13.068888,13.068888,13.068888,13.068888,8.169963,0
1998-01-27,13.066666,13.104444,12.822222,12.935555,8.086611,205591500
1998-01-28,12.911111,13.042222,12.122222,12.251111,7.658733,585018000
1998-01-29,12.190000,12.375555,12.137777,12.305555,7.692769,275053500
1998-01-30,12.355555,12.493333,12.271111,12.460000,7.789317,233977500
1998-02-02,12.518888,12.797777,12.411111,12.705555,7.942827,310963500
1998-02-03,12.788888,13.020000,12.714444,12.938888,8.088695,358191000
1998-02-04,13.064444,13.244444,12.868888,12.937777,8.087998,426942000
1998-02-05,12.977777,13.311111,12.977777,13.234444,8.273461,362407500
1998-02-06,13.227777,13.420000,12.955555,13.221111,8.265125,485950500
1998-02-09,13.243333,13.266666,13.050000,13.125555,8.205391,227151000
1998-02-10,13.066666,13.162222,12.978888,13.045555,8.155376,239935500
1998-02-11,13.144444,13.266666,13.091111,13.183333,8.241508,303264000
1998-02-12,13.160000,13.204444,13.024444,13.167777,8.231785,193014000
1998-02-13,13.197777,13.555555,13.197777,13.492222,8.434608,356562000
1998-02-16,13.492222,13.492222,13.492222,13.492222,8.434608,0
1998-02-17,13.555555,13.965555,13.555555,13.905555,8.693003,351004500
1998-02-18,13.987777,14.066666,13.555555,13.711111,8.571446,464859000
1998-02-19,13.733333,13.953333,13.733333,13.906666,8.693698,345496500
1998-02-20,13.932222,13.932222,13.767777,13.828888,8.645074,201744000
1998-02-23,13.833333,13.977777,13.811111,13.938888,8.713840,151434000
1998-02-24,13.988888,14.464444,13.877777,14.162222,8.853456,258417000
1998-02-25,14.125555,14.410000,14.125555,14.375555,8.986823,251887500
1998-02-26,14.422222,14.488888,14.247777,14.343333,8.966678,179473500
1998-02-27,14.388888,14.944444,14.388888,14.845555,9.280642,473634000
1998-03-02,14.866666,15.878888,14.866666,15.695555,9.812014,515389500
1998-03-03,15.888888,16.066666,15.066666,15.708888,9.820349,807817500
1998-03-04,15.555555,15.800000,15.388888,15.748888,9.845354,316372500
1998-03-05,15.656666,15.706666,15.113333,15.532222,9.709907,201604500
1998-03-06,15.511111,15.660000,15.404444,15.594444,9.748806,208984500
1998-03-09,15.688888,16.263332,15.688888,16.191111,10.121810,325471500
1998-03-10,16.161112,16.533333,16.024445,16.313334,10.198215,300973500
1998-03-11,16.222221,16.222221,15.781111,16.033333,10.023173,319536000
1998-03-12,16.100000,16.308887,16.002222,16.215555,10.137090,384435000
1998-03-13,16.215555,16.215555,16.215555,16.215555,10.137090,0
1998-03-16,16.277777,16.377777,16.122223,16.152222,10.097499,182479500
1998-03-17,16.113333,16.113333,15.692222,15.785555,9.868278,331344000
1998-03-18,15.888888,16.077778,15.847777,15.974444,9.986361,177664500
1998-03-19,16.055555,16.253332,15.845555,16.192223,10.122504,311386500
1998-03-20,16.135555,16.233334,16.032223,16.161112,10.103057,152041500
1998-03-23,16.188889,16.321112,16.111111,16.301111,10.190575,41409000
1998-03-24,16.333332,16.415554,15.783333,16.011110,10.009283,149107500
1998-03-25,16.088888,16.200001,15.984444,16.144444,10.092637,133996500
1998-03-26,16.088888,16.166666,15.811111,15.853333,9.910649,168592500
1998-03-27,15.842222,15.954444,15.740000,15.931111,9.959271,152734500
1998-03-30,15.931111,15.973333,15.460000,15.530000,9.708517,186043500
1998-03-31,15.552222,15.955555,15.473333,15.802222,9.878696,264294000
1998-04-01,15.977777,16.887777,15.977777,16.808887,10.508011,438565500
1998-04-02,16.884443,17.243334,16.514444,17.027777,10.644848,352539000
1998-04-03,17.044443,17.437777,16.998888,17.366667,10.856701,248881500
1998-04-06,17.357777,17.474443,17.157778,17.374443,10.861564,186759000
1998-04-07,17.311111,17.737778,17.281111,17.541111,10.965757,264501000
1998-04-08,17.541111,17.541111,17.541111,17.541111,10.965757,0
1998-04-09,17.711111,17.711111,17.112223,17.236666,10.775433,291955500
1998-04-10,17.177776,17.266666,16.966665,17.032223,10.647626,231367500
1998-04-13,16.889999,17.011110,16.622223,16.762222,10.478838,241695000
1998-04-14,16.762222,16.762222,16.762222,16.762222,10.478838,0
1998-04-15,17.107777,17.422222,16.988888,17.324444,10.830308,167346000
1998-04-16,17.238888,17.333332,17.077778,17.123333,10.704585,129861000
1998-04-17,17.088888,17.600000,17.005554,17.492222,10.935194,270580500
1998-04-20,17.533333,17.565556,17.067778,17.191111,10.746956,151236000
1998-04-21,17.207777,17.666666,17.155556,17.416666,10.887958,216585000
1998-04-22,17.561111,17.724443,17.251110,17.297777,10.813639,156213000
1998-04-23,17.245556,17.388887,17.008888,17.081112,10.678190,143905500
1998-04-24,17.100000,17.240000,16.666666,17.161112,10.728203,220189500
1998-04-27,17.197777,17.222221,16.980000,17.054443,10.661518,83259000
1998-04-28,17.022223,17.088888,16.845554,16.905556,10.568441,137889000
1998-04-29,17.111111,17.286667,16.913334,16.976665,10.612897,113805000
1998-04-30,16.934444,17.642221,16.934444,17.577778,10.988679,241249500
1998-05-01,17.577778,17.577778,17.577778,17.577778,10.988679,0
1998-05-04,17.664444,18.020000,17.664444,17.959999,11.227622,230233500
1998-05-05,17.976665,17.984444,17.668888,17.771111,11.109539,173394000
1998-05-06,17.888887,17.911112,17.455555,17.518888,10.951863,152694000
1998-05-07,17.518888,17.518888,17.518888,17.518888,10.951863,0
1998-05-08,17.467777,17.675554,17.372223,17.532223,10.960198,162337500
1998-05-11,17.466665,17.508888,17.313334,17.422222,10.891434,83394000
1998-05-12,17.389999,17.389999,16.445555,17.185555,10.743482,310608000
1998-05-13,16.938889,17.311111,16.712221,16.823334,10.517041,214362000
1998-05-14,16.822222,17.738888,16.778889,17.683332,11.054666,410724000
1998-05-15,17.775555,18.067778,17.733334,17.799999,11.127599,274194000
1998-05-18,17.865555,17.971111,17.780001,17.840000,11.152605,121504500
1998-05-19,17.833332,17.906666,17.670000,17.815556,11.137324,168462000
1998-05-20,17.933332,18.416666,17.911112,18.352222,11.472820,208395000
1998-05-21,18.375555,18.444445,17.891111,18.146666,11.344315,206766000
1998-05-22,18.133333,18.198889,17.656666,17.926666,11.206785,334624500
1998-05-25,17.621111,17.754444,17.392221,17.692223,11.060225,171229500
1998-05-26,17.555555,17.581112,17.135555,17.262222,10.791412,173461500
1998-05-27,17.111111,17.111111,15.694444,15.818888,9.889113,460129500
1998-05-28,15.738888,16.177776,15.480000,15.871111,9.921762,324441000
1998-05-29,15.716666,15.716666,14.935555,15.291111,9.559178,367996500
1998-06-01,15.377777,15.444444,14.714444,14.853333,9.285503,278635500
1998-06-02,14.777777,14.844444,14.037777,14.202222,8.878463,373581000
1998-06-03,14.377777,14.774444,14.111111,14.694444,9.186174,300775500
1998-06-04,14.800000,14.833333,14.563333,14.618888,9.138941,180976500
1998-06-05,14.622222,14.993333,14.113333,14.262222,8.915971,297738000
1998-06-08,14.333333,14.417777,13.000000,13.848888,8.657578,469048500
1998-06-09,14.304444,14.577777,13.834444,14.323333,8.954174,254115000
1998-06-10,14.222222,14.375555,13.535555,13.660000,8.539495,279981000
1998-06-11,13.525555,13.971111,13.244444,13.872222,8.672164,277402500
1998-06-12,13.888888,14.531111,13.888888,14.286666,8.931252,240705000
1998-06-15,14.044444,14.111111,13.346666,13.438888,8.401267,251131500
1998-06-16,13.337777,13.771111,12.713333,13.626666,8.518655,325102500
1998-06-17,14.000000,14.986666,14.000000,14.971111,9.359132,170761500
1998-06-18,15.311111,15.400000,14.688888,14.781111,9.240353,165694500
1998-06-19,14.577777,14.577777,13.761111,13.843333,8.654104,201321000
1998-06-22,13.778888,14.111111,12.715555,13.581111,8.551953,250065000
1998-06-23,13.955555,14.053333,13.291111,13.970000,8.796836,245983500
1998-06-24,13.888888,14.333333,13.822222,14.285555,8.995537,189733500
1998-06-25,14.331111,14.777777,14.268888,14.508888,9.136168,169704000
1998-06-26,14.444444,14.444444,14.138888,14.231111,8.961258,132097500
1998-06-29,14.145555,14.704444,13.911111,14.656666,9.229227,172336500
1998-06-30,14.711111,14.733333,14.456666,14.538888,9.155063,108315000
1998-07-01,14.394444,14.394444,13.955555,14.188888,8.934669,153661500
1998-07-02,14.068888,14.344444,13.933333,14.145555,8.907381,142965000
1998-07-03,14.045555,14.177777,13.722222,13.776666,8.675094,155979000
1998-07-06,13.860000,14.444444,13.733333,14.364444,9.045215,181102500
1998-07-07,14.444444,14.644444,14.355555,14.455555,9.102587,159039000
1998-07-08,14.577777,15.155555,14.562222,15.032222,9.465709,247437000
1998-07-09,15.022222,15.466666,15.022222,15.310000,9.640627,246109500
1998-07-10,15.416666,15.664444,15.381111,15.561111,9.798750,164934000
1998-07-13,15.533333,15.808888,14.977777,15.055555,9.480403,242280000
1998-07-14,15.057777,15.410000,15.022222,15.311111,9.641330,159678000
1998-07-15,15.445555,15.620000,15.088888,15.160000,9.546172,192321000
1998-07-16,15.280000,16.088888,15.111111,15.996666,10.073018,316782000
